5,Pauillac,5,2,17,1703,Left Bank,Pauillac,,1,2000,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,0,
id,template_name,sort_order,wine_name_value,type_id_value,country_id_value,region1_id_value,region2_value,region3_value,producer_value,class_id_value,vintage_value,grape1_value,grape2_value,grape3_value,grape4_value,grape5_value,shop_value,comment_value,alcohol_value,importer_value
2,Médoc,2,,2,17,1703,Left Bank,Médoc,,1,2000,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,0,
3,Haut Médoc,3,,2,17,1703,Left Bank,Haut Médoc,,1,2000,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,0,
4,Saint Estèphe,4,,2,17,1703,Left Bank,Saint Estèphe,,1,2000,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,0,
5,Pauillac,5,,2,17,1703,Left Bank,Pauillac,,1,2000,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,0,
6,Saint Julien,6,,2,17,1703,Left Bank,Saint Julien,,1,2000,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,0,
7,Margaux,7,,2,17,1703,Left Bank,Margaux,,1,2000,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,0,
8,Moulis,8,,2,17,1703,Left Bank,Moulis,,1,2000,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,0,
9,Listrac Médoc,9,,2,17,1703,Left Bank,Listrac Médoc,,1,2000,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,0,
10,Graves,10,,1,17,1703,Left Bank,Graves,,1,2000,,,,,,,,0,
11,Pessac Léognan,11,,1,17,1703,Left Bank,Pessac Léognan,,1,2000,,,,,,,,0,
12,Saint Émilion,12,,2,17,1703,Right Bank,Saint Émilion,,1,2000,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,0,
13,Saint Georges Saint Émilion,13,,2,17,1703,Right Bank,Saint Georges Saint Émilion,,1,2000,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,0,
